 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL5287	 Bile acid transporter 
 2 	 CHEMBL5409	 G-protein coupled bile acid receptor 1 
 3 	 CHEMBL2047	 Bile acid receptor FXR 
 4 	 CHEMBL2778	 Ileal bile acid transporter 
 5 	 CHEMBL205	 Carbonic anhydrase II 
 6 	 CHEMBL261	 Carbonic anhydrase I 
 7 	 CHEMBL1697668	 Solute carrier organic anion transporter family member 1B1 
 8 	 CHEMBL1743121	 Solute carrier organic anion transporter family member 1B3 
 9 	 CHEMBL6020	 Bile salt export pump 
 10 	 CHEMBL2034	 Glucocorticoid receptor 
 11 	 CHEMBL1795098	 Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 
 12 	 CHEMBL1977	 Vitamin D receptor 
 13 	 CHEMBL4343	 DNA polymerase beta 
 14 	 CHEMBL5983	 Aldo-keto reductase family 1 member B10 
 15 	 CHEMBL2068	 Ephrin type-A receptor 2 
 16 	 CHEMBL3004	 Multidrug resistance-associated protein 1 
 17 	 CHEMBL3290	 Ephrin type-B receptor 2 
 18 	 CHEMBL3987	 Ephrin type-A receptor 5 
 19 	 CHEMBL3988	 Ephrin type-A receptor 4 
 20 	 CHEMBL4134	 Ephrin type-A receptor 8 
