 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1250375	 NADPH oxidase 4 
 2 	 CHEMBL1900	 Aldose reductase 
 3 	 CHEMBL1916	 Alpha-2c adrenergic receptor 
 4 	 CHEMBL205	 Carbonic anhydrase II 
 5 	 CHEMBL2326	 Carbonic anhydrase VII 
 6 	 CHEMBL2622	 Aldose reductase 
 7 	 CHEMBL3242	 Carbonic anhydrase XII 
 8 	 CHEMBL3729	 Carbonic anhydrase IV 
 9 	 CHEMBL5573	 Intestinal alkaline phosphatase 
 10 	 CHEMBL220	 Acetylcholinesterase 
 11 	 CHEMBL3959	 Quinone reductase 2 
 12 	 CHEMBL2345	 Ribosomal protein S6 kinase alpha 3 
 13 	 CHEMBL4660	 Lymphocyte differentiation antigen CD38 
 14 	 CHEMBL1867	 Alpha-2a adrenergic receptor 
 15 	 CHEMBL230	 Cyclooxygenase-2 
 16 	 CHEMBL1929	 Xanthine dehydrogenase 
 17 	 CHEMBL1978	 Cytochrome P450 19A1 
 18 	 CHEMBL6089	 Ubiquitin-conjugating enzyme E2 N 
 19 	 CHEMBL215	 Arachidonate 5-lipoxygenase 
 20 	 CHEMBL340	 Cytochrome P450 3A4 
