 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1841	 Tyrosine-protein kinase FYN 
 2 	 CHEMBL258	 Tyrosine-protein kinase LCK 
 3 	 CHEMBL1829	 Histone deacetylase 3 
 4 	 CHEMBL6007	 Transient receptor potential cation channel subfamily A member 1 
 5 	 CHEMBL330	 Glutamate (NMDA) receptor subunit zeta 1 
 6 	 CHEMBL205	 Carbonic anhydrase II 
 7 	 CHEMBL261	 Carbonic anhydrase I 
 8 	 CHEMBL3242	 Carbonic anhydrase XII 
 9 	 CHEMBL3594	 Carbonic anhydrase IX 
 10 	 CHEMBL1900	 Aldose reductase 
 11 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 12 	 CHEMBL1903	 GABA transporter 1 
 13 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 14 	 CHEMBL341	 GABA receptor alpha-2 subunit 
 15 	 CHEMBL4054	 GABA transporter 1 
 16 	 CHEMBL2753	 GABA-B receptor 1 
 17 	 CHEMBL1865	 Histone deacetylase 6 
 18 	 CHEMBL1937	 Histone deacetylase 2 
 19 	 CHEMBL325	 Histone deacetylase 1 
 20 	 CHEMBL4361	 Induced myeloid leukemia cell differentiation protein Mcl-1 
